NAME,Income in the past 12 months below poverty level: ,Male (total): ,Male: Under 5 years,Male: 5 years,Male: 6 to 11 years,Male: 12 to 14 years,Male: 15 years,Male: 16 to 17 years,Male: 18 to 24 years,Male: 25 to 34 years,Male: 35 to 44 years,Male: 45 to 54 years,Male: 55 to 64 years,Male: 65 to 74 years,Male: 75 years and over,Female (total):,Female: Under 5 years,Female: 5 years,Female: 6 to 11 years,Female: 12 to 14 years,Female: 15 years,Female: 16 to 17 years,Female: 18 to 24 years,Female: 25 to 34 years,Female: 35 to 44 years,Female: 45 to 54 years,Female: 55 to 64 years,Female: 65 to 74 years,Female: 75 years and over
1,15.59%,5.60%,0.00%,0.00%,0.65%,0.00%,0.51%,0.33%,1.34%,0.98%,0.73%,0.40%,0.33%,0.33%,0.00%,10.00%,0.00%,1.38%,1.38%,1.09%,0.00%,0.00%,0.76%,0.51%,2.54%,0.00%,1.09%,0.00%,1.24%
2.01,33.89%,15.60%,0.00%,0.00%,6.58%,3.47%,0.00%,0.00%,3.93%,0.00%,0.00%,0.56%,1.08%,0.00%,0.00%,18.29%,3.24%,0.00%,3.30%,3.01%,0.00%,0.65%,0.56%,1.60%,2.65%,0.52%,2.03%,0.00%,0.72%
2.02,29.18%,15.36%,1.52%,0.00%,0.36%,1.41%,2.21%,1.85%,1.18%,2.44%,0.00%,3.96%,0.00%,0.44%,0.00%,13.82%,0.67%,0.00%,5.65%,0.00%,0.00%,0.00%,1.62%,2.00%,1.18%,1.62%,0.18%,0.21%,0.69%
3.01,7.88%,3.16%,0.00%,0.00%,0.00%,0.56%,0.00%,0.00%,0.00%,2.26%,0.00%,0.00%,0.00%,0.00%,0.34%,4.72%,0.00%,0.00%,0.54%,0.00%,0.63%,0.00%,0.00%,2.33%,0.00%,0.00%,0.00%,0.65%,0.58%
3.02,18.97%,8.37%,2.03%,0.76%,1.00%,0.51%,0.00%,0.00%,0.56%,0.00%,2.13%,0.52%,0.07%,0.00%,0.81%,10.60%,2.33%,0.03%,1.87%,0.00%,0.00%,0.00%,0.00%,1.49%,0.42%,0.00%,0.07%,2.57%,1.82%
4,10.71%,7.47%,0.00%,0.00%,1.13%,1.17%,0.00%,0.00%,2.67%,1.22%,0.00%,0.72%,0.15%,0.17%,0.24%,3.24%,0.07%,0.00%,0.00%,0.00%,1.28%,0.00%,0.07%,1.48%,0.00%,0.00%,0.00%,0.15%,0.20%
5.01,13.39%,7.20%,0.00%,0.00%,1.62%,1.27%,0.00%,0.64%,2.31%,0.00%,0.00%,0.03%,0.77%,0.56%,0.00%,6.19%,0.42%,0.00%,0.00%,1.00%,0.75%,0.55%,0.22%,1.06%,0.42%,0.00%,1.36%,0.13%,0.29%
5.02,13.14%,8.12%,1.58%,1.29%,1.33%,0.00%,0.00%,0.00%,0.39%,1.52%,0.47%,1.05%,0.47%,0.02%,0.00%,5.02%,0.00%,0.00%,0.78%,0.27%,0.00%,0.00%,1.00%,1.21%,0.00%,1.09%,0.14%,0.53%,0.00%
6.01,3.52%,1.14%,0.00%,0.00%,0.00%,0.28%,0.00%,0.00%,0.37%,0.00%,0.00%,0.26%,0.24%,0.00%,0.00%,2.38%,0.00%,0.00%,0.31%,0.00%,0.00%,0.29%,0.00%,0.00%,0.73%,0.20%,0.35%,0.22%,0.28%
6.02,3.80%,1.88%,0.29%,0.00%,0.15%,0.00%,0.00%,0.00%,0.07%,0.51%,0.00%,0.03%,0.20%,0.24%,0.39%,1.92%,0.17%,0.15%,0.58%,0.00%,0.00%,0.00%,0.00%,0.66%,0.00%,0.00%,0.36%,0.00%,0.00%
7.01,3.33%,0.78%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%,0.00%,0.00%,0.00%,0.25%,0.23%,2.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.40%,0.00%,0.35%,0.63%,0.83%,0.33%
7.02,21.46%,13.03%,1.77%,0.51%,3.86%,0.48%,3.17%,0.00%,0.00%,0.24%,2.05%,0.72%,0.24%,0.00%,0.00%,8.43%,2.39%,0.00%,1.43%,0.00%,0.00%,0.00%,0.68%,0.07%,3.41%,0.10%,0.14%,0.00%,0.20%
8.01,7.34%,3.04%,0.00%,0.00%,0.00%,0.00%,0.00%,0.26%,0.00%,0.00%,0.26%,1.67%,0.00%,0.00%,0.85%,4.30%,0.00%,0.00%,0.33%,0.26%,0.64%,0.00%,0.33%,0.00%,0.26%,0.67%,0.00%,0.64%,1.16%
8.03,3.78%,1.21%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.22%,0.00%,0.00%,0.00%,0.51%,0.22%,0.27%,2.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.04%,0.00%,0.07%,0.00%,0.44%,1.02%
8.04,9.05%,3.42%,1.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.52%,0.60%,0.00%,0.04%,0.00%,0.68%,5.63%,1.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.70%,0.62%,0.39%,0.37%,1.61%,0.89%
9.01,5.88%,2.35%,0.00%,0.00%,1.26%,0.18%,0.00%,0.10%,0.00%,0.24%,0.08%,0.16%,0.26%,0.00%,0.06%,3.53%,0.65%,0.00%,0.39%,0.08%,0.24%,0.00%,0.14%,0.79%,0.18%,0.20%,0.32%,0.32%,0.20%
9.02,3.12%,1.38%,0.00%,0.00%,0.16%,0.48%,0.00%,0.10%,0.00%,0.00%,0.48%,0.06%,0.10%,0.00%,0.00%,1.74%,0.00%,0.00%,0.55%,0.45%,0.00%,0.00%,0.10%,0.00%,0.48%,0.16%,0.00%,0.00%,0.00%
10,8.02%,3.37%,0.48%,0.00%,0.00%,0.20%,0.00%,0.00%,0.00%,0.85%,0.46%,0.32%,0.34%,0.28%,0.42%,4.65%,1.48%,0.00%,0.36%,0.00%,0.00%,0.00%,1.58%,0.38%,0.00%,0.28%,0.00%,0.22%,0.34%
11,6.32%,2.65%,0.71%,0.00%,1.02%,0.28%,0.00%,0.00%,0.00%,0.00%,0.64%,0.00%,0.00%,0.00%,0.00%,3.67%,0.32%,0.28%,0.49%,0.00%,0.00%,0.21%,0.00%,0.24%,0.96%,0.00%,0.41%,0.00%,0.75%
12,7.93%,5.57%,0.44%,0.00%,0.00%,0.00%,0.00%,0.00%,1.58%,0.58%,1.52%,0.00%,1.23%,0.23%,0.00%,2.36%,0.00%,0.00%,0.27%,0.25%,0.00%,0.00%,0.33%,0.00%,0.46%,0.25%,0.37%,0.21%,0.23%
13.01,6.93%,4.06%,0.09%,0.00%,0.28%,0.40%,0.15%,0.00%,0.00%,0.18%,2.65%,0.12%,0.00%,0.18%,0.00%,2.86%,0.00%,0.00%,0.58%,0.52%,0.00%,0.49%,0.00%,0.31%,0.34%,0.00%,0.18%,0.43%,0.00%
13.02,6.66%,2.71%,0.30%,0.32%,0.65%,0.00%,0.00%,0.00%,0.38%,0.24%,0.08%,0.32%,0.00%,0.41%,0.00%,3.95%,0.70%,0.00%,0.30%,0.00%,0.00%,0.00%,0.43%,0.24%,0.00%,1.25%,0.00%,0.89%,0.14%
14.01,5.90%,0.77%,0.00%,0.00%,0.38%,0.22%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,5.13%,1.25%,0.00%,2.55%,0.00%,0.00%,0.00%,0.00%,0.81%,0.00%,0.26%,0.00%,0.12%,0.14%
14.02,14.41%,4.80%,0.00%,0.00%,1.06%,0.00%,0.00%,1.02%,0.00%,1.32%,0.00%,0.00%,0.85%,0.00%,0.54%,9.60%,0.95%,0.00%,1.25%,1.23%,0.00%,1.21%,0.00%,0.99%,0.90%,1.59%,1.04%,0.00%,0.45%
15.01,20.01%,6.64%,1.87%,0.00%,0.50%,0.48%,0.00%,1.03%,1.16%,0.66%,0.22%,0.50%,0.24%,0.00%,0.00%,13.37%,2.24%,1.05%,1.52%,0.00%,0.86%,1.12%,1.63%,1.30%,2.11%,0.44%,0.09%,0.20%,0.81%
15.02,9.05%,5.91%,1.42%,0.00%,2.89%,0.00%,0.00%,0.00%,0.00%,0.71%,0.00%,0.00%,0.89%,0.00%,0.00%,3.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.61%,0.00%,1.31%,0.71%,0.33%,0.18%
16.01,28.03%,10.21%,0.57%,0.00%,0.51%,0.00%,0.00%,0.00%,4.74%,1.49%,0.47%,1.71%,0.00%,0.00%,0.71%,17.82%,1.82%,0.00%,2.23%,0.49%,0.00%,0.00%,4.12%,4.45%,0.88%,0.00%,0.67%,2.86%,0.31%
16.02,13.20%,3.39%,0.00%,0.00%,0.00%,0.00%,1.83%,0.00%,0.00%,0.28%,0.00%,1.05%,0.00%,0.23%,0.00%,9.81%,0.39%,0.00%,0.00%,0.00%,0.57%,2.13%,0.23%,0.00%,2.84%,1.01%,1.77%,0.00%,0.87%
17.01,13.37%,5.76%,0.00%,0.00%,0.78%,1.95%,0.00%,0.36%,0.29%,0.00%,0.36%,1.76%,0.00%,0.00%,0.26%,7.61%,0.00%,0.36%,0.94%,0.78%,0.59%,0.88%,0.00%,0.42%,2.51%,0.23%,0.36%,0.26%,0.29%
17.02,14.46%,6.26%,1.58%,0.58%,1.36%,0.80%,0.00%,0.58%,0.00%,0.00%,0.00%,0.41%,0.48%,0.48%,0.00%,8.20%,1.56%,0.00%,1.76%,0.00%,0.50%,0.00%,1.52%,0.33%,0.82%,0.63%,0.26%,0.82%,0.00%
18.01,6.79%,2.33%,0.23%,0.00%,0.46%,0.00%,0.00%,0.00%,0.59%,0.50%,0.00%,0.00%,0.55%,0.00%,0.00%,4.46%,0.69%,0.18%,0.00%,0.00%,0.48%,0.00%,1.35%,0.11%,0.27%,0.59%,0.39%,0.21%,0.18%
18.02,1.82%,0.47%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.23%,0.00%,0.00%,0.00%,0.00%,0.24%,1.34%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,0.11%,0.21%,0.00%,0.00%,0.00%,0.82%
19.01,23.20%,18.24%,2.58%,0.00%,6.27%,3.31%,0.34%,0.00%,0.83%,0.00%,0.68%,3.29%,0.93%,0.00%,0.00%,4.97%,0.79%,0.37%,0.49%,0.00%,0.00%,0.00%,0.73%,1.60%,0.37%,0.16%,0.19%,0.27%,0.00%
19.02,3.47%,1.38%,0.63%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,0.31%,0.33%,2.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.67%,0.00%,0.00%,0.25%,0.38%,0.59%,0.21%
20.01,5.88%,1.34%,0.40%,0.00%,0.28%,0.28%,0.00%,0.00%,0.00%,0.37%,0.00%,0.00%,0.00%,0.00%,0.00%,4.55%,0.00%,0.40%,0.43%,0.28%,0.00%,0.00%,0.28%,0.00%,0.71%,2.02%,0.00%,0.26%,0.17%
20.02,8.20%,4.19%,0.84%,0.00%,0.66%,0.51%,0.00%,0.00%,0.00%,1.73%,0.15%,0.00%,0.30%,0.00%,0.00%,4.01%,0.00%,0.12%,0.15%,0.00%,0.57%,0.00%,0.15%,0.24%,0.48%,1.91%,0.18%,0.00%,0.21%
21.01,10.98%,4.83%,0.00%,0.00%,1.30%,1.25%,0.00%,0.00%,0.00%,0.00%,1.16%,0.00%,0.00%,0.83%,0.29%,6.15%,0.00%,0.00%,0.48%,1.23%,0.00%,0.61%,0.48%,1.27%,0.66%,0.13%,0.83%,0.33%,0.11%
21.02,15.91%,3.56%,0.51%,0.00%,0.00%,0.00%,0.00%,0.00%,0.94%,0.33%,0.00%,1.54%,0.08%,0.16%,0.00%,12.34%,3.07%,0.00%,2.80%,0.00%,0.00%,0.30%,0.57%,1.59%,0.22%,0.31%,2.13%,1.18%,0.18%
22.01,41.63%,18.21%,2.39%,0.00%,4.95%,1.15%,0.00%,2.98%,1.13%,0.14%,0.75%,1.15%,2.76%,0.70%,0.11%,23.42%,0.27%,0.00%,5.74%,0.00%,1.97%,0.00%,2.06%,0.52%,6.82%,3.82%,1.06%,1.17%,0.00%
22.02,12.57%,7.97%,3.07%,0.00%,2.37%,0.00%,0.00%,0.00%,0.33%,1.61%,0.00%,0.00%,0.19%,0.41%,0.00%,4.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,1.96%,1.11%,0.14%,1.22%,0.00%
23,22.87%,7.69%,1.03%,0.00%,0.54%,0.99%,0.30%,0.00%,0.00%,0.00%,3.01%,0.34%,1.13%,0.34%,0.00%,15.18%,0.00%,0.00%,0.69%,1.77%,0.00%,1.03%,1.08%,0.34%,2.61%,0.94%,1.33%,4.29%,1.08%
24,6.07%,3.07%,0.31%,0.00%,0.33%,0.00%,0.00%,0.00%,0.08%,1.96%,0.04%,0.02%,0.02%,0.31%,0.00%,3.01%,0.66%,0.00%,0.29%,0.00%,0.00%,0.00%,0.00%,1.34%,0.00%,0.00%,0.45%,0.27%,0.00%
26,30.67%,18.06%,1.71%,0.00%,5.24%,0.00%,0.00%,0.47%,0.00%,0.00%,4.90%,3.14%,0.62%,1.73%,0.25%,12.61%,0.59%,0.00%,0.30%,2.75%,0.00%,0.00%,0.32%,3.29%,0.99%,0.54%,1.39%,1.31%,1.14%
27,34.28%,15.10%,1.72%,0.00%,2.48%,0.00%,0.00%,0.00%,0.00%,0.00%,6.07%,0.62%,1.10%,1.86%,1.24%,19.17%,2.14%,0.00%,0.00%,0.00%,0.00%,4.28%,3.10%,2.21%,4.14%,1.38%,0.90%,0.62%,0.41%
29,13.18%,7.29%,1.50%,1.02%,0.00%,0.00%,0.00%,0.00%,0.09%,0.02%,0.00%,2.00%,0.57%,0.50%,1.59%,5.89%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.18%,1.25%,0.34%,0.00%,2.43%,1.16%,0.52%
